Date,Meal,Calories,Fat (g),Carbohydrates (g),Fiber (g),Sugar (g),Protein (g),Sodium (mg),Water (ml)
2026-08-04,DailySummary,1754,41.8,213.6,38.6,43.6,130.8,2175.0,3034.0
2026-08-05,DailySummary,2062,48.9,230.8,37.6,72.8,174.6,2059.0,3061.0
2026-08-06,DailySummary,2219,81.7,196.9,33.7,26.9,174.0,1898.0,3465.0
2026-08-07,DailySummary,2395,74.1,238.4,35.4,44.3,193.7,2183.0,2826.0
2026-08-08,DailySummary,2161,49.4,257.3,40.2,47.6,171.7,2587.0,2712.0
2026-08-09,DailySummary,2145,69.4,256.8,39.4,63.7,123.3,1948.0,3412.0
2026-08-10,DailySummary,2392,78.7,239.4,33.0,49.8,181.6,2291.0,2476.0
2026-08-11,DailySummary,2448,76.4,279.0,40.2,67.7,161.1,2381.0,3233.0
2026-08-12,DailySummary,2035,47.0,214.3,30.2,27.2,188.8,2604.0,3377.0
2026-08-13,DailySummary,1887,61.7,188.8,25.1,45.7,144.2,2282.0,3158.0
2026-08-14,DailySummary,2300,69.6,248.2,28.7,42.1,170.2,2085.0,3735.0
2026-08-15,DailySummary,2035,72.2,198.3,29.2,33.1,147.9,2911.0,3290.0
2026-08-16,DailySummary,2202,80.1,192.0,26.5,48.8,178.3,2440.0,2614.0
2026-08-17,DailySummary,2251,71.6,228.3,24.0,46.9,173.3,2434.0,3928.0
2026-08-18,DailySummary,2417,64.1,277.0,35.3,52.3,183.1,3012.0,2650.0
2026-08-19,DailySummary,2196,78.7,179.2,25.4,25.6,192.8,3112.0,3106.0
2026-08-20,DailySummary,2465,88.8,251.2,32.7,44.5,165.2,1939.0,2460.0
2026-08-21,DailySummary,2083,39.7,254.3,35.7,20.4,177.1,2014.0,2514.0
2026-08-22,DailySummary,2548,73.3,311.0,34.4,38.2,161.1,2797.0,3973.0
2026-08-23,DailySummary,2332,62.9,257.6,37.1,36.6,183.8,2827.0,3185.0
2026-08-24,DailySummary,2123,85.0,161.0,25.3,30.2,178.6,2322.0,2972.0
2026-08-25,DailySummary,2185,62.2,224.5,43.2,56.6,181.9,2701.0,3293.0
2026-08-26,DailySummary,2372,76.8,270.0,33.6,20.0,150.1,2195.0,2711.0
2026-08-27,DailySummary,2158,63.4,238.3,21.5,26.4,158.5,1287.0,3229.0
2026-08-28,DailySummary,2496,65.0,275.7,22.0,58.2,202.0,2312.0,2899.0
2026-08-29,DailySummary,2253,78.3,258.1,27.4,59.1,128.9,2240.0,1962.0
2026-08-30,DailySummary,2413,56.1,302.3,26.3,31.2,174.7,3300.0,4023.0
2026-08-31,DailySummary,2146,72.8,195.0,28.3,61.9,177.6,2494.0,3145.0
2026-09-01,DailySummary,2141,67.3,214.8,30.2,43.5,169.1,2411.0,2675.0
2026-09-02,DailySummary,2205,57.4,230.4,26.1,40.1,191.7,2336.0,3046.0
2026-09-03,DailySummary,2152,77.9,199.5,30.2,47.9,163.2,2450.0,2753.0
2026-09-04,DailySummary,1966,56.8,189.6,29.0,37.9,174.2,2435.0,3398.0
2026-09-05,DailySummary,2156,72.3,246.4,24.4,41.9,130.0,2940.0,2917.0
2026-09-06,DailySummary,2383,81.8,243.0,29.6,49.6,168.6,1767.0,3211.0
